Crash ID,Road User,Gender,Age,Age Group
20201010,Pedestrian,Male,31,26_to_39
20201185,Pedestrian,Male,60,40_to_64
20204063,Pedestrian,Female,27,26_to_39
20205071,Motorcycle rider,Male,40,40_to_64
20202051,Driver,Male,90,75_or_older
20202102,Pedestrian,Male,20,17_to_25
20203077,Passenger,Male,9,0_to_16
20203033,Passenger,Female,17,17_to_25
20203165,Driver,Male,21,17_to_25
20203167,Passenger,Female,17,17_to_25
20201184,Driver,Male,26,26_to_39
20201157,Driver,Female,26,26_to_39
20203077,Driver,Female,48,40_to_64
20201108,Driver,Male,50,40_to_64
20201055,Driver,Male,43,40_to_64
20203082,Passenger,Female,49,40_to_64
20202101,Driver,Male,62,40_to_64
20204040,Driver,Male,27,26_to_39
20205040,Driver,Male,35,26_to_39
20205040,Passenger,Female,32,26_to_39
20205051,Driver,Male,42,40_to_64
20202004,Driver,Male,28,26_to_39
20201053,Passenger,Male,78,75_or_older
20201163,Pedal cyclist,Male,87,75_or_older
20205078,Driver,Male,58,40_to_64
20201125,Driver,Male,32,26_to_39
20205041,Driver,Female,84,75_or_older
20206019,Passenger,Female,2,0_to_16
20201036,Driver,Male,32,26_to_39
20205073,Driver,Female,32,26_to_39
20201029,Driver,Male,33,26_to_39
20205016,Driver,Male,26,26_to_39
20202149,Pedal cyclist,Female,41,40_to_64
20201139,Driver,Female,69,65_to_74
20203042,Driver,Female,72,65_to_74
20204031,Driver,Female,70,65_to_74
20201213,Passenger,Male,19,17_to_25
20201063,Driver,Male,30,26_to_39
20202044,Driver,Male,33,26_to_39
20202142,Other/-9,Male,81,75_or_older
20207019,Driver,Female,48,40_to_64
20203014,Passenger,Male,16,0_to_16
20207018,Passenger,Female,38,26_to_39
20205055,Driver,Male,22,17_to_25
20206004,Driver,Female,28,26_to_39
20203140,Passenger,Male,20,17_to_25
20201058,Driver,Male,72,65_to_74
20201240,Passenger,Male,14,0_to_16
20201240,Passenger,Male,25,17_to_25
20204015,Driver,Male,87,75_or_older
20206020,Motorcycle rider,Male,60,40_to_64
20205102,Driver,Male,76,75_or_older
20203140,Passenger,Female,20,17_to_25
20203140,Passenger,Female,21,17_to_25
20203140,Driver,Female,22,17_to_25
20203079,Motorcycle rider,Male,62,40_to_64
20203121,Motorcycle pillion passenger,Male,21,17_to_25
20205086,Driver,Female,21,17_to_25
20204007,Driver,Male,88,75_or_older
20204008,Driver,Male,21,17_to_25
20203011,Driver,Male,29,26_to_39
20203071,Pedestrian,Male,38,26_to_39
20201133,Motorcycle rider,Male,59,40_to_64
20201047,Driver,Male,35,26_to_39
20201118,Driver,Male,33,26_to_39
20205014,Pedestrian,Female,27,26_to_39
20201107,Driver,Male,78,75_or_older
20203129,Driver,Male,83,75_or_older
20205108,Pedal cyclist,Male,8,0_to_16
20202112,Passenger,Male,36,26_to_39
20202112,Driver,Male,27,26_to_39
20207021,Passenger,Female,21,17_to_25
20203109,Driver,Male,18,17_to_25
20201099,Driver,Female,24,17_to_25
20204060,Driver,Female,31,26_to_39
20203075,Driver,Male,18,17_to_25
20201006,Driver,Female,17,17_to_25
20201172,Driver,Male,28,26_to_39
20203123,Driver,Male,38,26_to_39
20204033,Driver,Male,60,40_to_64
20202147,Driver,Male,49,40_to_64
20203174,Driver,Female,51,40_to_64
20204009,Driver,Male,42,40_to_64
20203083,Motorcycle rider,Male,63,40_to_64
20203002,Driver,Male,59,40_to_64
20202134,Motorcycle rider,Male,52,40_to_64
20201089,Motorcycle rider,Male,40,40_to_64
20205074,Driver,Male,44,40_to_64
20201229,Driver,Male,54,40_to_64
20206021,Driver,Female,41,40_to_64
20202116,Motorcycle rider,Male,60,40_to_64
20203012,Pedal cyclist,Male,42,40_to_64
20205034,Pedestrian,Male,52,40_to_64
20203108,Driver,Female,74,65_to_74
20203176,Driver,Female,69,65_to_74
20201022,Driver,Male,72,65_to_74
20201182,Pedestrian,Male,79,75_or_older
20201241,Pedestrian,Female,14,0_to_16
20201224,Pedestrian,Female,85,75_or_older
20201224,Pedestrian,Female,62,40_to_64
20201188,Pedestrian,Female,8,0_to_16
20203067,Pedestrian,Male,63,40_to_64
20205088,Driver,Female,26,26_to_39
20205095,Passenger,Male,63,40_to_64
20201034,Driver,Male,21,17_to_25
20202089,Driver,Male,18,17_to_25
20202089,Passenger,Male,17,17_to_25
20205024,Driver,Male,30,26_to_39
20201156,Pedestrian,Male,36,26_to_39
